difficulty,length,name,rating,type1,type2,sales
3.09,38.75,Sid Meier's Civilization Revolution,4.04,strategy,None,500
3.3,25.57,Tom Clancy's Rainbow Six Vegas 2,4.03,action,None,1000
4.03,23.73,Alien: Isolation,3.97,action,adventure,100
3.02,55.96,FIFA Soccer 12,3.97,sports,None,200
3.1,22.7,Magic: The Gathering - Duels of the Planeswalkers 2012,3.97,strategy,None,100
3.18,37.69,Dance Central 2,3.97,action,None,100
2.95,16.58,Ghostbusters: The Video Game,3.97,action,None,500
3.07,18.39,Alan Wake,3.97,action,adventure,1000
2.71,60.06,Kingdoms of Amalur: Reckoning,3.97,role-playing,None,1000
3.57,47.44,Dragon Ball: Xenoverse,4.12,action,None,200
3.25,52.4,Sonic's Ultimate Genesis Collection,4.18,miscellaneous,None,500
3.72,15.7,Geometry Wars: Retro Evolved 2,4.18,action,None,200
3.77,67.9,Earth Defense Force 2025,4.18,action,None,100
3.25,31.3,Gears of War 2: Game of the Year Edition,4.18,miscellaneous,None,100
3.09,21.63,BioShock 2,4.03,action,None,1000
3.13,32.11,Skate 2,4.03,sports,None,500
3.26,18.33,Hydro Thunder Hurricane,4.03,racing,None,100
3.04,30.76,Call of Duty: Modern Warfare 2,4.03,action,None,1000
2.8,45.83,FIFA Soccer 09,3.96,sports,None,200
3.23,35.87,Dead or Alive 5 Ultimate,4.12,action,None,100
3.54,16.63,DOOM,4.12,action,None,500
3.24,64.3,Terraria,4.18,action,adventure,500
2.86,25.16,The Beatles: Rock Band,4.18,action,None,200
3.12,7.33,Sonic the Hedgehog (Live Arcade),4.02,action,None,200
3.27,27.25,Guitar Hero II,3.96,action,None,1000
3.0,22.05,Battlefield: Bad Company,3.96,action,None,1000
3.46,24.47,Mortal Kombat Komplete Edition,4.12,action,None,100
3.58,36.47,BlazBlue: Continuum Shift Extend,4.12,action,None,100
2.81,37.05,NHL 09,4.12,sports,None,200
2.73,44.71,Dynasty Warriors 7,4.11,action,None,200
3.34,15.5,Scott Pilgrim vs. the World: The Game,4.11,action,None,200
3.2,24.23,Red Dead Redemption: Undead Nightmare,4.11,miscellaneous,None,200
2.87,29.93,Naruto Shippuden: Ultimate Ninja Storm 2,4.1,action,None,500
3.12,51.84,Grand Theft Auto IV: The Complete Edition,4.18,action,adventure,200
3.18,28.54,Halo: Reach,4.18,action,None,1000
2.96,43.74,Assassin's Creed IV: Black Flag,4.17,action,adventure,1000
3.3,22.02,Rayman Origins,4.17,action,None,200
3.62,10.63,Braid,4.17,action,None,500
3.32,30.55,Virtua Fighter 5 Online,4.02,action,None,200
3.61,50.12,Rocksmith,4.02,action,None,100
3.0,23.99,Deadly Premonition,4.02,action,adventure,200
3.41,33.19,Super Street Fighter IV: Arcade Edition,3.96,action,None,200
2.55,27.33,LEGO Batman 2: DC Super Heroes,3.96,action,adventure,200
2.52,28.01,LEGO The Lord of the Rings,3.96,action,adventure,200
2.94,41.15,Forza Horizon,4.1,racing,None,500
3.09,27.54,Resident Evil 5: Gold Edition,4.1,action,adventure,200
3.23,20.88,Halo: Combat Evolved Anniversary,4.1,action,None,1000
3.3,19.24,Virtua Fighter 5 Final Showdown,4.1,action,None,100
4.26,26.95,Ninja Gaiden II,4.1,action,adventure,1000
3.31,29.27,Deus Ex: Human Revolution,4.16,action,adventure,1000
3.31,76.27,Metal Gear Solid V: The Phantom Pain,4.16,action,adventure,100
3.02,11.51,The Secret of Monkey Island: Special Edition,4.16,adventure,None,200
3.07,10.34,Sonic the Hedgehog 2,4.16,action,None,200
2.38,3.34,The Walking Dead: Episode 1 - A New Day,4.16,adventure,None,200
3.14,29.3,Halo 3,4.16,action,None,1000
3.08,17.71,Tom Clancy's Splinter Cell: Conviction,4.02,action,adventure,500
3.22,23.91,Dishonored,4.02,action,adventure,1000
2.96,42.07,NIER,4.01,role-playing,None,500
3.37,28.26,Guitar Hero III: Legends of Rock,4.01,action,None,1000
3.41,24.17,Devil May Cry 4,3.95,action,adventure,1000
3.27,21.97,Ace Combat 6: Fires of Liberation,3.95,simulation,None,500
2.92,22.88,Plants vs. Zombies,4.1,strategy,None,200
2.91,10.78,Far Cry 3: Blood Dragon,4.09,action,None,200
3.39,25.99,Guitar Hero: Metallica,4.09,action,None,500
3.0,32.1,Fallout 3 Game Add-On Pack - The Pitt and Operation: Anchorage,4.09,role-playing,None,100
3.07,28.9,Battlefield: Bad Company 2,4.09,action,None,1000
3.75,9.91,Mega Man 10,4.09,action,None,200
3.27,47.27,NBA 2K12,4.08,sports,None,200
3.48,27.77,BlazBlue: Calamity Trigger,4.16,action,None,500
3.03,65.13,Forza Motorsport 3,4.16,racing,None,1000
3.02,45.17,Mass Effect 3,4.15,role-playing,None,1000
3.21,66.02,Lost Odyssey,4.15,role-playing,None,1000
3.16,9.47,Sonic CD,4.01,action,None,200
4.5,19.07,Ikaruga,4.01,action,None,200
3.6,17.78,Max Payne 3,4.01,action,None,500
3.1,54.21,Forza Motorsport 2,3.95,racing,None,1000
2.9,19.14,X-Men Origins: Wolverine,3.95,action,None,200
3.12,49.38,Plants vs Zombies: Garden Warfare,3.94,action,None,100
4.26,12.76,Radiant Silvergun,3.94,action,None,100
3.93,25.86,Trials HD,3.94,racing,None,200
3.11,33.44,Need for Speed: Most Wanted (2005),3.94,racing,None,200
3.4,14.76,Vanquish,3.94,action,None,200
3.62,16.09,Metal Gear Rising: Revengeance,4.08,action,adventure,500
2.45,34.14,LEGO Star Wars: The Complete Saga,4.01,miscellaneous,None,1000
3.42,31.89,Zone of the Enders HD Collection,4.01,miscellaneous,None,100
3.01,26.23,Naruto Shippuden: Ultimate Ninja Storm Generations,4.01,action,None,200
2.56,35.86,Fable II,4.01,role-playing,None,1000
3.07,47.28,Just Cause 2,3.94,action,adventure,500
3.2,17.44,Injustice: Gods Among Us,3.94,action,None,500
2.98,34.45,DiRT 2,3.94,racing,None,100
3.23,26.87,Call of Duty: World at War,3.94,action,None,1000
3.07,74.77,Dragon Age: Inquisition,3.94,role-playing,None,200
3.2,23.16,DOOM 3 BFG Edition,3.94,action,None,200
3.3,26.65,Left 4 Dead 2,4.08,action,None,1000
3.94,21.5,Catherine,4.08,action,adventure,500
3.34,33.64,Gears of War Triple Pack,4.08,miscellaneous,None,100
2.81,31.04,Bully: Scholarship Edition,3.93,action,adventure,1000
3.18,31.41,Pinball FX 2,3.93,action,None,100
3.35,6.3,LIMBO,4.08,action,None,500
2.62,43.79,Fable II: Game of the Year Edition,4.08,miscellaneous,None,200
2.89,12.67,Peggle,3.93,puzzle,None,200
2.95,57.49,NHL 11,3.93,sports,None,100
3.17,5.61,Galaga,3.93,action,None,100
3.77,9.91,The Dishwasher: Dead Samurai,3.93,action,None,100
3.07,33.47,Dragon Ball: Raging Blast 2,3.93,action,None,200
3.37,30.3,Ultimate Marvel vs. Capcom 3,3.93,action,None,500
4.21,14.39,Hard Corps: Uprising,3.93,action,None,100
3.16,32.5,Darksiders II,3.93,action,adventure,500
3.1,26.76,Persona 4 Arena,3.92,action,None,200
2.79,43.63,FIFA Soccer 10,3.92,sports,None,200
3.28,13.87,Spec Ops: The Line,3.92,action,None,200
3.68,8.4,Skullgirls,3.92,action,None,100
2.78,34.52,Fable Anniversary,3.92,role-playing,None,200
3.04,55.92,Borderlands: The Pre-Sequel,3.92,action,None,200
3.04,54.73,NHL 12,3.92,sports,None,100
3.23,28.09,Halo Wars,3.78,strategy,None,1000
2.13,4.34,Brothers: A Tale of Two Sons,3.78,action,adventure,100
2.97,49.1,Magna Carta 2,3.78,role-playing,None,200
3.05,19.97,Tomb Raider: Underworld,3.78,action,adventure,200
2.54,24.81,LEGO Rock Band,3.78,action,None,100
2.89,15.63,Tomb Raider: Legend,3.78,action,adventure,200
3.08,19.45,Castlevania: Lords of Shadow 2,3.77,action,adventure,100
3.29,20.32,Hitman: Absolution,3.77,action,adventure,500
3.13,30.77,DiRT 3,3.77,racing,None,100
3.0,21.49,Fight Night Round 4,3.77,sports,None,200
2.85,20.8,Transformers: Revenge of the Fallen,3.77,action,None,100
3.04,13.6,Lollipop Chainsaw,3.77,action,None,200
3.08,60.79,FIFA 14,3.73,sports,None,100
2.98,28.66,Call of Duty: Black Ops,3.73,action,None,1000
3.09,61.83,Sacred 2: Fallen Angel,3.73,role-playing,None,500
3.2,15.76,Condemned 2: Bloodshot,3.73,action,adventure,500
3.01,28.8,Magic: The Gathering - Duels of the Planeswalkers,3.72,strategy,None,200
3.5,28.75,Battlestations: Pacific,3.72,strategy,None,100
2.97,28.98,Guitar Hero 5,3.72,action,None,200
2.95,13.35,Fight Night Round 3,3.72,sports,None,200
2.21,17.83,Mini Ninjas,3.72,action,adventure,100
2.86,43.92,Dragon Age II,3.72,role-playing,None,1000
2.96,28.36,Need for Speed Carbon,3.71,racing,None,200
3.4,67.38,Record of Agarest War Zero,3.71,strategy,None,100
3.03,20.08,Brutal Legend,3.83,action,adventure,500
2.41,25.39,LEGO Batman: The Videogame,3.83,action,adventure,500
3.15,34.32,Monday Night Combat,3.83,action,None,100
2.96,26.34,Assassin's Creed,3.83,action,adventure,1000
3.06,18.38,Mafia II,3.83,action,adventure,500
2.8,20.84,Naruto: The Broken Bond,3.83,action,adventure,200
3.02,14.05,Shadows of the Damned,3.83,action,adventure,200
3.45,16.78,Metro 2033,3.83,action,None,500
3.33,11.64,Outland,3.83,action,None,100
2.98,15.67,Spider-Man: Shattered Dimensions,3.82,action,adventure,200
3.13,30.61,Resident Evil: Revelations 2,3.82,action,adventure,100
3.12,19.58,Halo 3: ODST,3.82,action,None,1000
